score,uid,text
0.80498445,6520857369,针对对外开放条件下境外势力利用宗教对我国进行渗透日益突出的问题，党中央把独立自主自办原则上升为我国各宗教处理对外关系必须坚持的基本原则一一相信政府！完美！
0.3577709,1096120081,​​​​//@战争史研究WHS:连看三遍[笑cry]（李朝党争也是服气，大北派小北派，骨北派肉北派，清小北浊小北，清南派浊南派，山党派汉党派，老论派少论派，宛如不断自我分裂的阿米巴虫，哪天捋一下[允悲]）//@重忆小窗纱:哈哈哈一个广告高度还原东西南北四色党争扯皮现场，还要加上实学派和开化派[笑cry]
0.3577709,1400819581,1，当然能够和平统一。只要实现了社会主义核心价值观的民主，政府由人民投票选举产生，台湾的政党可以到大陆发展，逐鹿中原，大陆政党到台湾设支部竞选市长，台湾人有了更大的舞台为什么要抗拒统一。这个过程也许很慢，50年100年，也许很快东西德，一个晚上的事情。
0.3577709,5304430082,​​​​白苏珊老师三十多年前在江苏上海浙江和乡镇领导喝白酒套数据做田野调查，甚至见到了今天某位常委。前几天还看见某学者说中国政治的出路在做田野而不是坐在办公室对着电脑找数据，但今天基层政府的官员还敢这样把酒言欢掏心掏肺吗。我觉得还是稳一点走上层路线，毕竟“党管数据”，只要能拿到新的一手数 ​​​​​
0.3577709,6520857369,同时，二贤又将学诚法师定性为中国政府海外文化拓展政策在宗教方面的执行人，利用海外社会普遍存在的“恐华症”，破坏龙泉体系的海外拓展，阻击“一带一路”的国际文化战略。
0.3577709,3752634762,​​​​#微评《暴雨将至》  时间不死，圆圈不圆。仇恨不尽，暴雨将至。 语言、面孔、照片，都是标识。 教堂、爱情、故乡，皆为纯净。 种族、宗教、战争的无法和解起源于这样的巴别塔，也击碎了人所应有的体面与尊严。 血腥、暴力、死亡也同样出于纯净的理由而在这片壮美土地上横行。 当宗教或种族的愤怒压倒一 ​​​​​
0.3577709,3075672645,​​​​晋商贷平台正在运转老板被抓，5万多出借人成为受害者，晋商贷的执照是政府发的，运行六年的平台被政府封了，受害者数据无从查找，平台的钱去向不明，受害人去太原上访又多方阻…，山西省有关官员庸政懒政，请你们别把百姓往死路上逼，党是英明的，历史终究会给广大P2P受害者一个交待，晋商贷也不例外！
0.3577709,6520857369,全国寺院都在升国旗搞党建，你们不会一点消息都没有听到吧？你们不升旗不信党，可以向政府抗议，但似乎也没有听你们谁抗议过，可见你们也……呵呵呵。别在背后五十步笑百步。
0.3577709,1677460704,​​​​好玩 「近10年来，安·兰德这个成名于上世纪四五十年代的作家的名字在美国被一再提及。以“茶党”为标志的右翼人士将其奉为赞颂理性、自由和财富的“市场女神”，左翼则对这个冷酷、自私、没有良心的“异端”闻之色变。包括特朗普在内，这届美国政府的多名重量级人物都把她视为最喜欢的作家（之一）。安 ​​​​​
0.3577709,1973009074,​​​​//@不要觉得自己很特殊: 这话没毛病，没有义务去帮助一个在管理上一团乱麻的国家，美国不是婴儿，他们有发达的法治。//美国的问题都是民主党左的问题。如果早退出让美国大出血的世界邮政协议，联邦政府不再补贴国外电商公司且加强监管，强力保护美墨边界打击毒贩，怎么会有这种导致大规模灾难的问题？
