word,count
​,705205
 ,440571
卜凡,41145
回复,30423
圆,29244
柚香糖,29127
尤长靖,24254
哈哈哈,19986
超话,18704
朱一龙,17311
微博,14405
转发,13993
啊啊啊,12888
KATTO,12746
心,12239
t,10832
cn,10710
http,10667
泪,10350
奶奶,9706
️,9641
爱,9500
小白,9349
评论,9247
说,9190
.....,9015
rap,8967
真想,8939
魂,8914
一巴掌,8907
扇灭,8893
真的,8881
允悲,8722
周洁琼,8166
憧憬,8042
疼,8013
太,7959
脑瓜子,7813
⭐,7719
笑,7591
国风,7543
想,7497
黑狗,7452
哈哈哈哈,7046
喵,6954
米奇,6826
网易,6362
选,6233
➕,6218
期待,6139
doge,6062
喜欢,6038
站,5779
薄荷,5716
哥哥,5676
牛奶,5641
数据,5625
榴莲,5563
大哭,5438
小心,5361
可爱,5360
过敏,5276
加油,5266
✨,5126
作揖,5051
HighFashion,4785
二哈,4701
OFFICIAL,4581
牛,4566
oner,4521
晕,4493
小朋友,4280
刘,4277
呜呜,4272
跪,4236
希望,4072
好看,4036
吃,3982
美少年,3947
感谢,3946
亲亲,3855
做,3779
zjq,3549
里,3412
买,3395
霍尊,3302
仙女,3300
甜,3274
开心,3243
老师,3241
力量,3201
能量,3188
嘻嘻,3093
幸运,3076
温柔,2996
北京,2991
晚安,2943
点燃,2890
故事,2823
cry,2807
中,2772
宋昕冉,2762
感觉,2722
午安,2721
细胞,2660
战胜,2637
病毒,2631
赞,2630
穿,2630
金币,2625
艺术品,2625
电视剧,2624
化为,2620
抗体,2611
找,2597
新,2531
木子,2516
几个,2509
洋,2472
直播,2468
情书,2462
SNH48,2395
写,2394
月,2383
世界,2328
帅哥,2314
嗒,2306
羞嗒,2301
死,2278
大赏,2197
嗨,2189
哭,2179
关注,2166
绅士,2151
ONER,2130
永远,2121
值,2109
中国,2100
礼,2084
真,2068
表演,2043
展现,2013
像不像,2009
张赫,2005
重播,2004
鸭,1959
求,1937
吃瓜,1933
暖暖和和,1930
邀请,1919
简单,1910
卫视,1863
起飞,1851
宝贝,1851
之路,1848
认输,1839
精彩演出,1837
豆儿,1834
尤,1833
因梦而启,1833
🙏,1819
one,1817
失望,1795
文化,1776
微笑,1768
年,1762
悲伤,1759
兔子,1742
闲散,1724
完,1715
发现,1713
爱奇艺,1681
可怜,1674
听,1670
年度,1651
神仙,1645
生活,1645
林彦俊,1627
娱乐,1626
未来,1621
走,1581
粉丝,1550
谢谢,1549
宝,1542
开启,1526
不语,1519
蔡,1518
抱抱,1512
定义,1491
发微博,1491
分享,1488
放弃,1474
念,1472
唯,1469
请,1467
段,1457
一点,1446
6406324815,1443
鲜花,1436
BazaarV,1423
好像,1414
人类文明,1411
蕴藏,1410
柳,1402
污,1402
强烈要求,1384
终于,1384
承认,1383
星小编,1378
徐坤,1362
剧星,1349
费解,1339
心脏,1331
vimusyayaya,1322
宜恩,1320
星星,1317
天,1309
☆,1308
点,1306
拳头,1303
证明,1301
努力,1296
理智,1293
治疗,1283
芭莎,1281
比心,1274
想要,1269
快乐,1268
演员,1261
陪,1254
东西,1253
嗷,1249
视频,1243
思考,1242
事,1231
致命,1225
吸引力,1218
时间,1216
休息,1214
击毙,1205
宣告,1205
骤停,1204
cp,1200
吾,1198
图,1198
朋友,1195
这是,1195
特别,1193
不到,1181
少女,1168
梦,1158
舔,1157
 ,1155
早点,1153
yzj,1152
鼓掌,1150
公益,1148
两个,1140
剧集,1131
事情,1128
逼,1118
搞,1114
重启,1112
邪,1104
捞,1104
好好,1101
号,1101
挺,1091
在场,1071
不想,1065
我要,1060
音乐,1040
爸爸,1040
家,1038
超级,1033
##,1029
害羞,1019
实在,1019
前,1018
遇见,1016
uzj,1013
男,1013
人生,1013
Repost,1003
屏,997
住,990
熊猫,990
时尚,978
日,977
正,967
love,964
学习,964
酱,963
孩子,959
摊手,958
生日快乐,957
拜拜,951
真实,948
图片,948
话,947
quot,941
拍,941
睡,940
应援,927
色,926
我来,925
明天,921
尖叫,919
猫,918
诶,917
good,914
期,912
温暖,910
梦境,907
卡,902
分,900
宝宝,899
酷,894
成,886
电影,880
转,878
玩,874
厉害,872
海底,869
路,867
眼睛,866
投票,865
妈,863
高,861
白宇,855
•,845
榜,837
幸福,825
有人,825
声音,825
抽,824
心上人,822
一只,822
爆炸,819
王源,819
看过,818
意义,817
日光,817
在线,812
少年,810
不行,809
任千帆,806
同学,805
讲,802
君,801
时,800
晚上,795
钱,794
12,794
ok,793
太帅,792
无边,792
美丽,792
工作,784
杨,781
画,780
小丸子,775
星光,775
问,772
龙,771
云上,765
头,762
助,757
挤眼,755
山岭,754
太阳,753
发,752
今晚,752
手机,751
太棒了,749
人气,748
芋圆,746
不醒,741
超越,740
开,738
100,737
五分,737
甘愿,736
结束,732
长醉,731
记得,730
玩乐,727
名字,725
回,723
只能,723
能力,721
拌,720
榜上,715
哆,714
超,711
唱,711
点亮,704
送,701
狗,698
哈欠,698
璀璨,693
嘤,692
疑问,679
Love,678
不好,677
szd,676
卧槽,675
生命,672
确实,669
昨天,668
支持,668
2018,667
跑,665
优秀,664
美好,662
我会,661
懂,661
宣传,661
好听,660
那种,659
一种,659
😭,658
每次,653
国,650
时光,648
一句,646
长进,645
样子,643
小时,641
姐姐,640
脸,639
奇怪,638
表现力,638
千玺,638
烊,635
好多,635
没错,634
美国,631
越来越,631
时刻,630
官博,629
辛苦,627
回来,625
妈妈,624
失语,623
赢,622
地方,621
锦鲤,621
上海,618
红,616
情绪,613
易,613
粽,613
好吃,612
第一,612
睡觉,612
骄傲,611
zQhKugu,610
小姐姐,609
阴险,607
炸天,604
跟着,604
心情,603
日本,603
一半,603
日常,603
酒,601
BazzarV,601
今日,600
黑,600
表情,599
不错,598
本来,597
条,593
喝,593
第一次,592
M,592
北大,591
☝,590
浪漫,590
粉,589
美,586
傻,585
吃惊,583
研究,579
痢疾,578
jlnv,578
选择,576
组,576
雪,575
沉迷,571
静静,571
哒,568
一刻,567
gt,566
理解,563
姐妹,560
剧,560
值得,558
一条,557
参与,557
论文,556
骂,556
先,555
抽奖,554
秘密,554
蛋糕,553
学校,553
社会,551
行,550
一年,549
是因为,549
作业,547
不哭,546
记忆,546
帅气,546
不用,545
10,544
棒,543
肯定,542
遗憾,538
吐,537
保护,535
看着,533
治愈,533
😂,532
❤,532
拥有,528
掉,525
大声,524
寄,521
快来,521
踩,518
云,517
野生,514
同行,513
🏻,512
漂亮,510
天天,510
偶像,510
捧,508
补货,506
守望,505
x,505
钟汉良,504
大王,502
身体,501
说话,501
为啥,500
总,499
干,499
照片,499
想到,499
11,499
藏,497
二专,496
卖要,496
岳岳,496
小尊尊,496
穿越,495
学,490
陪你走,490
无所畏惧,490
辽,488
葡萄,488
岁,488
交代,486
厨房,486
统一,483
字,482
印象,481
越,481
圈,481
百雀羚,479
刚刚,478
z,477
搜,476
沙雕,475
天赋,474
找到,472
可怕,471
20,470
I,470
坏,470
心动,469
恭喜,468
太太,467
吹,467
室友,466
明明,465
馋嘴,464
EyZdfhE,462
守护者,462
感受,460
女孩,458
疯,456
偷笑,455
小笼包,454
山川,453
手,453
关系,452
国家,452
酿,450
机会,450
倒,449
帮,448
接受,448
王,447
隔,446
帐,446
人类,446
盛典,445
小可爱,445
心事,444
＾,443
__,443
道路,443
TFBOYS,443
并行,442
๑,442
明白,442
王俊凯,442
爱豆,442
疯狂,441
碰,441
昼夜,439
苍白,438
打卡,438
湖海,437
男人,437
往复,436
基因,436
歌有,435
退出,434
活动,434
只认,433
换,433
花,433
手心,432
堆积,432
安排,431
麻麻,431
观看,431
骆驼,431
告诉,431
这条,429
夺目,428
反正,428
敦煌,428
千年,427
舞台,426
诗句,426
好帅,425
游戏,425
灵魂深处,424
心跳,424
路途,423
辞藻,423
衣服,423
回音,423
公司,423
国度,423
时空,422
夜空,422
新歌,422
you,421
丝竹,421
难返,420
长,420
冬天,419
刷,419
戈壁,419
记起,418
水中,418
对话,417
哥,417
日月星辰,417
冷,417
崽,416
技术,416
羡慕,416
黄沙,416
蜿蜒,416
草,416
惹,415
背脊,415
作者,415
我终,414
有没有,414
迎来,414
怎及,414
李易峰,413
公子,413
怎可及,413
赫,412
极速,412
女性,412
天马,412
心头,410
新旧交替,408
高光,408
何德何能,407
救援,407
星移,406
昂起,406
影响,405
历经,405
糖,404
朴志训,404
少,403
一张,403
司乔,402
隔开,402
三个,402
对不起,401
僧人,401
ryan,401
ω,401
WHITE,401
宿舍,400
宿命,400
想起,400
万千,400
蛋,399
啵,399
毛,398
轻纱,398
更好,398
转经,398
所愿,398
收手,398
风霜,397
心疼,397
雨雪,397
清唱,397
错,397
空旷,396
漫长,396
遥望,396
演绎,396
the,396
狂欢,395
前路,395
倾心,395
笑意,394
想触,394
