word,count
​,168279
 ,125527
回复,13148
哈哈哈,6589
朱一龙,6497
心,5258
泪,5240
微博,4714
转发,4270
t,4250
cn,4200
http,4190
真的,2869
超话,2612
爱,2556
想,2516
允悲,2392
小心,2365
王子,2266
啊啊啊,2242
哈哈哈哈,2133
️,2130
喜欢,2113
异,2070
说,2050
喵,1984
太,1929
傅菁,1906
米奇,1891
doge,1864
笑,1861
可爱,1633
跪,1586
💙,1564
少女,1460
🔥,1376
胡烊,1355
七棵,1355
火箭,1251
101,1248
吃,1161
🙏,1159
好看,1152
做,1133
嘻嘻,1129
二哈,1110
憧憬,1107
开心,1061
大哭,1047
加油,930
嗒,877
羞嗒,875
微笑,815
比心,807
中,795
呜呜,772
cry,769
亲亲,766
烊,741
里,733
易,698
哥哥,698
千玺,694
王俊凯,681
赞,677
鸭,659
失望,658
哭,657
感觉,656
希望,655
能量,650
分享,648
听,630
死,630
抱抱,628
音乐,614
真,608
粉丝,603
关注,596
买,582
兔子,570
老师,566
卡,565
中国,558
月,553
期待,547
作揖,538
评论,526
温柔,525
天,525
悲伤,523
求,505
宝贝,503
##,494
华晨,493
世界,493
仙女,489
谢谢,481
快乐,480
公益,479
蔡,468
王源,463
努力,458
未来,453
想要,452
TFBOYS,449
发现,448
完,439
请,438
这是,432
范丞丞,430
徐坤,429
捞,429
走,426
吃瓜,425
新,425
宇,421
x,417
可怜,406
写,404
尤长靖,401
简单,401
图片,400
好好,398
一点,398
年,394
正,384
朱正廷,377
费解,377
感谢,376
生日快乐,376
少年,369
温暖,367
找,365
视频,362
不想,361
抽,357
生活,355
电视剧,347
拜拜,342
R2LT4OS,333
晚安,333
好像,331
力量,330
明天,329
站,328
好吃,328
❤,328
梦,328
偶像,326
超级,325
朋友,324
开,324
鼓掌,324
事情,320
ok,320
污,320
摊手,319
号,318
good,318
妈,317
拍,315
愿,315
睡,312
美丽,311
北京,310
我要,310
逼,306
时间,302
东西,301
不语,299
转,297
工作室,296
终于,295
事,294
大赏,293
小傅,292
永远,291
每次,291
害羞,290
剧星,288
挺,288
两个,282
太阳,280
